time,active_time,concentration,end_criterion,evaluations,f_density
784.1303022,1.543402,20100.33253,-5.91E-07,1400,78.35102124
789.2270923,1.543402,20100.33803,-5.84E-07,1406,78.23196959
794.3238823,1.543402,20100.33829,-5.78E-07,1411,78.11422482
799.6755118,1.543402,20100.34324,-5.70E-07,1417,77.99213407
805.0271413,1.543402,20100.34689,-5.64E-07,1422,77.87149034
810.6463523,1.543402,20100.35162,-5.56E-07,1428,77.74641147
816.2655633,1.543402,20100.34947,-5.50E-07,1433,77.62281503
822.1657349,1.543402,20100.35566,-5.43E-07,1438,77.49467338
828.360915,1.543402,20100.35646,-5.36E-07,1444,77.36178965
834.5560952,1.543402,20100.36056,-5.30E-07,1450,77.23053114
840.7512753,1.543402,20100.36049,-5.24E-07,1455,77.10076081
847.2562144,1.543402,20100.36429,-5.18E-07,1460,76.96608187
854.0864005,1.543402,20100.36372,-5.12E-07,1465,76.82623301
861.2580959,1.543402,20100.36644,-5.06E-07,1470,76.68097269
868.7883761,1.543402,20100.36817,-5.01E-07,1475,76.53007278
876.6951703,1.543402,20100.37357,-4.96E-07,1480,76.37316407
884.9973042,1.543402,20100.37578,-4.91E-07,1485,76.20999079
893.7145448,1.543402,20100.37998,-4.87E-07,1490,76.04013802
902.8676474,1.543402,20100.38267,-4.83E-07,1495,75.86322292
912.4784051,1.543402,20100.3853,-4.80E-07,1500,75.67881001
922.5697008,1.543402,20100.38586,-4.77E-07,1505,75.4863177
933.1655612,1.543402,20100.38648,-4.74E-07,1511,75.28525017
943.7614216,1.543402,20100.3852,-4.73E-07,1516,75.08489472
954.887075,1.543402,20100.3911,-4.72E-07,1522,74.87503974
966.0127284,1.543402,20100.39304,-4.71E-07,1528,74.66531803
977.1383819,1.543402,20100.39743,-4.71E-07,1534,74.45549724
988.2640353,1.543402,20100.39355,-4.73E-07,1540,74.24514545
999.3896887,1.543402,20100.39324,-4.75E-07,1546,74.03395949
1000,1.543402,20100.3885,-4.72E-07,1551,74.02244239
1011.125653,1.543402,20100.38891,-4.78E-07,1557,73.80984387
1022.251307,1.543402,20100.38616,-4.81E-07,1563,73.59563102
1033.37696,1.543402,20100.39144,-4.87E-07,1569,73.37904608
1044.502614,1.543402,20100.39019,-4.93E-07,1575,73.15952788
1055.628267,1.543402,20100.38992,-5.02E-07,1581,72.93616546
1066.753921,1.543402,20100.38598,-5.13E-07,1587,72.70784407
1077.879574,1.543402,20100.38081,-5.28E-07,1593,72.47300594
1089.005227,1.543402,20100.37839,-5.48E-07,1599,72.22922018
1100.130881,1.543402,20100.37543,-5.77E-07,1607,71.97258304
1111.256534,1.543402,20100.37796,-6.23E-07,1615,71.69534543
1122.382188,1.543402,20100.37527,-7.15E-07,1629,71.37713081
1127.945014,1.543402,20100.38317,-8.33E-07,1635,71.19184305
1133.507841,1.543402,20100.37941,-1.14E-06,1645,70.9390519
1139.070668,1.543402,20100.38661,-2.14E-06,1671,70.46246103
1141.852081,1.543402,20100.39161,-1.88E-06,1677,70.25281571
1144.633495,1.543402,20100.39331,-1.35E-06,1683,70.10252587
1147.414908,1.543402,20100.38323,-1.03E-06,1688,69.98798404
1150.335392,1.543402,20100.3858,-8.19E-07,1693,69.89229544
1153.4019,1.543402,20100.37985,-6.78E-07,1698,69.80919076
1156.621734,1.543402,20100.38307,-5.73E-07,1703,69.73542786
1160.002559,1.543402,20100.37461,-4.97E-07,1708,69.66826938
1163.552426,1.543402,20100.3774,-4.38E-07,1713,69.60600828
1167.279786,1.543402,20100.36966,-3.97E-07,1718,69.54688588
1171.193514,1.543402,20100.37322,-3.65E-07,1723,69.48975113
1175.302928,1.543402,20100.36686,-3.43E-07,1728,69.43341963
1179.617813,1.543402,20100.37058,-3.26E-07,1733,69.37709031
1184.148442,1.543402,20100.36637,-3.15E-07,1738,69.31992569
1188.905603,1.543402,20100.36756,-3.07E-07,1743,69.26146965
1193.900622,1.543402,20100.3644,-3.02E-07,1748,69.20110298
1199.145391,1.543402,20100.36309,-2.98E-07,1753,69.13854919
1204.6524,1.543402,20100.35875,-2.96E-07,1758,69.07338345
1210.434758,1.543402,20100.35783,-2.94E-07,1763,69.00543559
1216.506235,1.543402,20100.3553,-2.93E-07,1768,68.93439228
1222.881285,1.543402,20100.35247,-2.91E-07,1773,68.86010401
1229.575088,1.543402,20100.34816,-2.90E-07,1778,68.78233754
1236.603581,1.543402,20100.34949,-2.90E-07,1783,68.70094565
1243.983499,1.543402,20100.34488,-2.89E-07,1788,68.61569613
1251.732412,1.543402,20100.34707,-2.88E-07,1793,68.52644464
1259.868772,1.543402,20100.34298,-2.87E-07,1798,68.43295303
1268.411949,1.543402,20100.34571,-2.86E-07,1803,68.3350703
1277.382285,1.543402,20100.34415,-2.86E-07,1808,68.23249325
1286.801138,1.543402,20100.34325,-2.85E-07,1813,68.12510955
1296.690933,1.543402,20100.34374,-2.85E-07,1818,68.01256281
1307.075219,1.543402,20100.34374,-2.84E-07,1823,67.89471989
1317.978718,1.543402,20100.34207,-2.83E-07,1828,67.77120517
1329.427393,1.543402,20100.34052,-2.83E-07,1833,67.64180351
1341.448501,1.543402,20100.33643,-2.82E-07,1838,67.50616722
1354.070665,1.543402,20100.33439,-2.82E-07,1843,67.36399725
1367.323936,1.543402,20100.33021,-2.81E-07,1848,67.2149151
1381.239872,1.543402,20100.33463,-2.81E-07,1854,67.0585655
1395.155807,1.543402,20100.32964,-2.81E-07,1859,66.90231801
1409.767539,1.543402,20100.33421,-2.81E-07,1865,66.7383103
1424.379272,1.543402,20100.32844,-2.81E-07,1871,66.57426305
1438.991004,1.543402,20100.32883,-2.81E-07,1877,66.41008561
1453.602736,1.543402,20100.32425,-2.81E-07,1883,66.24569216
1468.214468,1.543402,20100.32152,-2.82E-07,1889,66.08093188
1482.826201,1.543402,20100.31972,-2.83E-07,1895,65.91575646
1497.437933,1.543402,20100.31695,-2.84E-07,1901,65.749946
1512.049665,1.543402,20100.31453,-2.85E-07,1907,65.58340299
1526.661397,1.543402,20100.31198,-2.87E-07,1913,65.41586703
1541.273129,1.543402,20100.30745,-2.89E-07,1919,65.24716551
1555.884862,1.543402,20100.30624,-2.91E-07,1925,65.07697047
1570.496594,1.543402,20100.30559,-2.94E-07,1931,64.90496803
1585.108326,1.543402,20100.306,-2.98E-07,1937,64.73061365
1599.720058,1.543402,20100.30714,-3.03E-07,1943,64.55326025
1614.331791,1.543402,20100.30493,-3.10E-07,1949,64.37187195
1628.943523,1.543402,20100.30182,-3.20E-07,1957,64.18466874
1643.555255,1.543402,20100.29495,-3.37E-07,1967,63.98798745
1658.166987,1.543402,20100.2942,-3.76E-07,1981,63.76845034
1665.472853,1.543402,20100.28864,-4.64E-07,1992,63.63290047
1669.125786,1.543402,20100.28878,-6.83E-07,1998,63.53310338
1672.778719,1.543402,20100.28867,-7.90E-07,2010,63.41769648
1674.605186,1.543402,20100.28287,-6.53E-07,2016,63.36995412
1676.431652,1.543402,20100.28037,-5.47E-07,2022,63.32998816
1678.258119,1.543402,20100.27266,-4.68E-07,2027,63.29581606
1680.175909,1.543402,20100.27001,-4.14E-07,2032,63.26409432
1682.189588,1.543402,20100.26424,-3.71E-07,2037,63.23423549
1684.303951,1.543402,20100.26314,-3.42E-07,2042,63.20526899
1686.524033,1.543402,20100.25671,-3.20E-07,2047,63.176885
1688.855119,1.543402,20100.25585,-3.05E-07,2052,63.14840876
1691.302758,1.543402,20100.2488,-2.93E-07,2057,63.11967532
1693.87278,1.543402,20100.24814,-2.87E-07,2062,63.09016725
1696.571303,1.543402,20100.24006,-2.81E-07,2067,63.05981426
1699.404752,1.543402,20100.23918,-2.79E-07,2072,63.02821254
1702.379874,1.543402,20100.23115,-2.76E-07,2077,62.99533242
1705.503751,1.543402,20100.2308,-2.76E-07,2082,62.96084299
1708.783823,1.543402,20100.22461,-2.75E-07,2087,62.92473127
1712.227898,1.543402,20100.22316,-2.76E-07,2092,62.88671319
1715.844177,1.543402,20100.21688,-2.76E-07,2097,62.84673734
1719.641269,1.543402,20100.21425,-2.78E-07,2102,62.80455435
1723.628217,1.543402,20100.20971,-2.79E-07,2107,62.76008855
1727.814511,1.543402,20100.20922,-2.81E-07,2112,62.71305917
1732.210121,1.543402,20100.20514,-2.83E-07,2117,62.66335432
1736.825511,1.543402,20100.2047,-2.85E-07,2122,62.61067801
1741.67167,1.543402,20100.20023,-2.88E-07,2127,62.55485645
1746.760138,1.543402,20100.19869,-2.92E-07,2132,62.49548866
1752.103028,1.543402,20100.19642,-2.96E-07,2137,62.4323336
1757.713064,1.543402,20100.19502,-3.01E-07,2142,62.36480837
1763.603601,1.543402,20100.19086,-3.07E-07,2147,62.29246578
1769.788665,1.543402,20100.18477,-3.15E-07,2153,62.21445708
1775.973729,1.543402,20100.17945,-3.26E-07,2159,62.13388931
1782.158793,1.543402,20100.17373,-3.40E-07,2165,62.04985175
1788.343857,1.543402,20100.16784,-3.59E-07,2171,61.96097839
1794.528921,1.543402,20100.16241,-3.91E-07,2177,61.86434286
1800.713985,1.543402,20100.15739,-4.53E-07,2183,61.75222315
1806.899049,1.543402,20100.15376,-8.15E-07,2201,61.55047482
1809.99158,1.543402,20100.15418,-1.14E-06,2211,61.40939183
1813.084112,1.543402,20100.14407,-8.94E-07,2219,61.29885336
1816.176644,1.543402,20100.14776,-6.54E-07,2225,61.21795404
1819.269176,1.543402,20100.14531,-5.10E-07,2230,61.15486491
1822.516335,1.543402,20100.14779,-4.21E-07,2235,61.10015475
1825.925851,1.543402,20100.14058,-3.60E-07,2240,61.05104207
1829.505844,1.543402,20100.1414,-3.18E-07,2245,61.00554973
1833.264836,1.543402,20100.13505,-2.85E-07,2250,60.96271602
1837.211777,1.543402,20100.1355,-2.61E-07,2255,60.92156859
1841.356066,1.543402,20100.13165,-2.41E-07,2260,60.88157659
1845.707569,1.543402,20100.12988,-2.27E-07,2265,60.84209904
1850.276647,1.543402,20100.12471,-2.15E-07,2270,60.80274484
1855.074179,1.543402,20100.12436,-2.07E-07,2275,60.76305569
1860.111588,1.543402,20100.1206,-2.00E-07,2280,60.7227107
1865.400867,1.543402,20100.12034,-1.96E-07,2285,60.68133357
1870.95461,1.543402,20100.11709,-1.92E-07,2290,60.63868135
1876.786041,1.543402,20100.11742,-1.90E-07,2295,60.59447877
1882.909042,1.543402,20100.11507,-1.88E-07,2300,60.54853604
1889.338194,1.543402,20100.11468,-1.86E-07,2305,60.50062246
1896.088804,1.543402,20100.11268,-1.85E-07,2310,60.45059827
1903.176944,1.543402,20100.11409,-1.85E-07,2315,60.39824667
1910.61949,1.543402,20100.11374,-1.84E-07,2320,60.34348781
1918.434165,1.543402,20100.11546,-1.84E-07,2325,60.28609223
1926.639573,1.543402,20100.11369,-1.83E-07,2330,60.22599186
1935.255251,1.543402,20100.11325,-1.83E-07,2335,60.16298116
1944.301713,1.543402,20100.11098,-1.82E-07,2340,60.09694836
1953.800499,1.543402,20100.11073,-1.82E-07,2345,60.02770751
1963.774224,1.543402,20100.10787,-1.82E-07,2350,59.95510618
1974.246635,1.543402,20100.10772,-1.82E-07,2355,59.87895926
1985.242666,1.543402,20100.10333,-1.82E-07,2360,59.79909947
1996.788499,1.543402,20100.09931,-1.81E-07,2365,59.71530762
2000,1.543402,20100.09679,-1.81E-07,2370,59.69204797
2011.545833,1.543402,20100.09297,-1.81E-07,2375,59.60832211
2023.668958,1.543402,20100.09136,-1.81E-07,2380,59.52048713
2036.398239,1.543402,20100.08779,-1.81E-07,2385,59.42823372
2049.763984,1.543402,20100.09027,-1.81E-07,2390,59.33138229
2063.798016,1.543402,20100.08767,-1.81E-07,2395,59.22961952
2078.53375,1.543402,20100.09294,-1.81E-07,2400,59.12266237
2094.00627,1.543402,20100.0902,-1.82E-07,2405,59.01016431
2110.252417,1.543402,20100.09257,-1.82E-07,2410,58.89179959
2127.310871,1.543402,20100.0892,-1.83E-07,2415,58.76708625
